title,location,founder,description,linkedin,website
Nano Technologies,Vietnam,Dzung Dang,Payroll app to pay workers daily for retailers & manufacturers in SEA,https://www.linkedin.com/in/%F0%9F%94%AD-dzung-dang-1565425/,http://www.vuiapp.vn
Meru.com,"Mexico City, Mexico",Virgile Fiszman,The one-stop-shop for Asian Wholesale in Latin America.,https://www.linkedin.com/in/virgile-fiszman-213ab39a/,https://meru.com
eqtble,New York,Gabe Horwitz,"Next-gen HR analytics platform, turning employee data into insights",https://www.linkedin.com/in/gabrielmhorwitz/,https://eqtble.com/
Blotout,"Fremont, CA",Matthew Boulos,Unified source of truth for customer data in your infra,https://www.linkedin.com/in/matthewboulos,https://blotout.io
Kanda,"Birmingham, United Kingdom",Phil Daneshyar,Affirm for general contractors,https://www.linkedin.com/in/phildaneshyar/,https://www.getkanda.com/
NextPay,"Makati, Philippines",Don Pansacola,The digital bank for small businesses in the Philippines.,https://www.linkedin.com/in/donpansacola/,https://nextpay.world
TimeTackle,"San Jose, CA",Syam Anupom,Analyze calendar data to align team's time to company priorities,https://www.linkedin.com/in/anupom/,https://www.timetackle.com/
MagicBell,"Barcelona, Spain",Hana Mohan,The notification inbox for web/mobile applications.,https://www.linkedin.com/in/unamashana/,https://magicbell.com
Terra,"London, United Kingdom",Kyriakos Eleftheriou,"Plaid for health, fitness and wellness",https://www.linkedin.com/in/kyriakos-eleftheriou/,http://tryterra.co
SwiftSku,"Birmingham, AL",Daniel Mazur,Management and analytics software for convenience stores,https://www.linkedin.com/in/danielmazur1,https://swiftsku.com
Arpio,"Durham, NC",Doug Neumann,Recover from any outage in 10 minutes or less.,https://www.linkedin.com/in/dougneumann/,https://arpio.io
Authologic,"Warsaw, Poland",Krzysztof Klimczak,Stripe for online identity verification,https://www.linkedin.com/in/krzysztofklimczak/,https://authologic.com
Waydev,San Francisco,Valentin Buzea,The software development analytics platform for engineering leaders,https://www.linkedin.com/in/valentinbuzea/,https://waydev.co
ContentFly,"Toronto, Canada",Vasil Damyanov,On demand content for companies through AI + humans-in-the-loop,https://www.linkedin.com/in/vasil-damyanov-50a88871/,http://contentfly.com
BOITAS.COM,"Monterrey, Mexico",Marcelo Galvan,Group-buying Marketplace for SMBs in Latin America,https://www.linkedin.com/in/marcelo-galv%C3%A1n-de-la-garza-aa323017/,http://www.boitas.com
Runops,"São Paulo, Brazil",Andrios Robert,Code review for DevOps tasks,https://www.linkedin.com/in/andrios/,https://runops.io
Routine,"Paris, France",Julien Quintard,"Tasks, notes and calendar in one blazingly fast productivity app",https://www.linkedin.com/in/julienquintard/,http://routine.co
Djamo,"Abidjan, Côte D'Ivoire",Regis Bamba,Challenger Bank for consumers in French speaking Africa.,https://www.linkedin.com/in/regisbamba,https://www.djamo.ci/
HUBUC,"Barcelona, Spain",Ignacio Javierre,The next generation of Banking-as-a-service platform,https://www.linkedin.com/in/ignaciojavierre/,https://www.hubuc.com/
Wasp,"Zagreb, Croatia",Martin Sosic,Configuration language for building enterprise web apps 10x faster,https://www.linkedin.com/in/martinsosic,https://wasp-lang.dev/
Vendease,"Lagos, Nigeria",Gatumi Aliyu,Where restaurants in Africa buy food supplies,https://www.linkedin.com/in/gatumialiyu/,https://vendease.com/
Jiga,"Tel Aviv-Yafo, Israel",Assaf Geuz,Jiga makes it easy for companies to outsource manufacturing of parts,https://www.linkedin.com/in/assaf-geuz-jiga/,https://www.jiga3d.com
Cheqout,San Francisco,Tom Sharon,Mobile ordering & payments for Brick & Mortars,https://www.linkedin.com/in/tomsharon93/,https://cheqout.com
Broad,"London, United Kingdom",Juliano Alves,The European neobank for Brazilians to spend money overseas,https://www.linkedin.com/in/julianopalves/,http://www.broad.app
Estoca,"São Paulo, Brazil",Caio Almeida,Logistics Operating System for E-commerces in Latam,https://www.linkedin.com/in/caioborgesalmeida/,https://www.estoca.com.br/en
Navattic,San Francisco,Randy Frank,Shareable product demos,https://www.linkedin.com/in/randolph-frank/,https://www.navattic.com/
Neuro,"Bath, United Kingdom",Paul Hetherington,Serverless compute for Machine Learning,https://www.linkedin.com/in/paul-hetherington/,https://getneuro.ai
Friz,Singapore,Ash Rhazaly,Neobank for freelancers in Asia,https://www.linkedin.com/in/ash-rhazaly-402533209/,https://www.usefriz.com
NowPay,"Cairo, Egypt",Mostafa Ashour,Employer backed payroll advances for employees in Egypt,http://www.linkedin.com/in/mostafaashour,https://www.nowpay.com
Dayra,"Cairo, Egypt",Omar Ekram,Data-driven embedded Financial Services for Gig Workers,https://www.linkedin.com/in/omar-ekram-56088128/,https://Dayra.co
Jetdocs,"Toronto, Canada",Andrew Dolinski,Jetdocs is Zendesk for internal requests.,https://www.linkedin.com/in/dolinskiandrew/,https://jetdocs.io
Gigs,"Berlin, Germany",Dennis Bauer,Stripe for SIM cards. Phone & data plans through an API globally.,https://www.linkedin.com/in/dennisjbauer/,https://gigs.tel
Uiflow,San Francisco,Sol Eun,No-code platform for enterprise software companies,https://www.linkedin.com/in/soleun/,https://www.uiflow.com
Spline,"Reston, VA",Alejandro Leon,"A 3d design tool for the web, without coding.",https://www.linkedin.com/in/alelepd/,http://spline.design/
Treinta,"Bogota, Colombia",Lluis Canadell,Digital ledger App for Latam microbusinesses,https://www.linkedin.com/in/lluiscanadell/,https://www.treinta.co
Svix,San Francisco,Tom Hacohen,Webhooks as a service,https://uk.linkedin.com/in/tomhacohen/,https://www.svix.com
Galaxy,San Francisco,Adam Barr-Neuwirth,Instant payouts for SMEs,https://www.linkedin.com/in/adambarrneuwirth/,https://galaxyfinance.com
Moonshot Brands,"Oakland, CA",Allan (Amnon) Fisch,Buy and grow profitable e-commerce companies selling on Amazon and DTC,https://www.linkedin.com/in/allanfisch/,http://moonshotbrands.com
HiGeorge,"Los Angeles, CA",Anuj Saigal,"No-code, ready-to-use data visualizations for media companies ",https://www.linkedin.com/in/anujsaigal/,https://hi-george.com
FlutterFlow,Mountain View,Abel Mengistu,Webflow for Mobile,https://www.linkedin.com/in/asmengistu/,https://flutterflow.io
AgendaPro,"Santiago, Chile",Julio Guzman,Shopify for Beauty and Wellness businesses in Latam,https://www.linkedin.com/in/julioagg/,https://www.agendapro.com
Kitemaker,"Oslo, Norway",Sigurd Seteklev,A faster and more collaborative alternative to Jira for remote teams,https://www.linkedin.com/in/sigurd-seteklev/,https://www.kitemaker.co
Infracost,"Edinburgh, United Kingdom",Ali Khajeh-Hosseini,Infracost shows engineering teams how code changes affect cloud bills,https://www.linkedin.com/in/alikhajeh1/,https://infracost.io
Pagaloop,"Mexico City, Mexico",Gerardo Briones,Finance SMBs’ working capital needs with personal credit cards.,https://www.linkedin.com/in/gerardo-briones-58000813/,https://www.pagaloop.com
Sturdy,"Stockholm, Sweden",Kiril Videlov,We are replacing Git with real-time code collaboration in the cloud,https://www.linkedin.com/in/kirilv/,https://getsturdy.com
Ziina,"Dubai, United Arab Emirates",Faisal Toukan,A digital wallet for the Middle East & North Africa,https://www.linkedin.com/in/faisal-toukan-64865064/,https://www.ziina.com
Vue Storefront,"Warsaw, Poland",Patrick Friday,Bodiless Frontend Platform for eCommerce,https://www.linkedin.com/in/fridaypwa/,https://www.vuestorefront.io/
Lunatic,"Vienna, Austria",Hrvoje Bandov,Operating System for server-side apps,https://hr.linkedin.com/in/hrvoje-bandov-2b699773,https://lunatic.solutions/
Mono,"Lagos, Nigeria",Abdulhamid Hassan,"Plaid for Africa, but better. ",https://www.linkedin.com/in/ijbkid/,https://mono.co
Athens Research,San Francisco,Jeff Tang,Open-Source Roam Research,https://www.linkedin.com/in/tangjeff0/,https://github.com/athensresearch/athens/
Z1,"São Paulo, Brazil",Thiago Achatz,Digital bank for teenagers in LatAm connected to prepaid card ,https://www.linkedin.com/in/thiago-waddington-achatz-3280a297/,https://z1.app/
Mendel,"Mexico City, Mexico",Alan Karpovsky,Workflows to empower employees to spend while finance stay in control,https://www.linkedin.com/in/alankarpovsky/,https://somosmendel.com
Preki,"Bogota, Colombia",Alex Hakim,B2B wholesale marketplace in LatAm,https://www.linkedin.com/in/alex-hakim-414192b3,http://www.preki.com
Ontop,"Bogota, Colombia",Jaime Abella,Multi-country payroll manager for LATAM,https://www.linkedin.com/in/jaime-abella/,https://ontop.ai/
Pyroscope,"Oakland, CA",Dmitry Filimonov,Open source continuous profiling software to debug performance issues,https://www.linkedin.com/in/dmitry-filimonov-82b26145/,https://pyroscope.io/
Compose.ai,San Francisco,Wilson Mitchell,Cut your writing time by 40% with AI-powered autocomplete,https://www.linkedin.com/in/wilsonmitchell,https://compose.ai
Fable,New York,Alex Chumbley,The command center for product teams,https://www.linkedin.com/in/alex-chumbley/,https://www.tryfable.com/
Mythia,San Francisco,Eric Lafleche,Reward Card for Gamers,https://www.linkedin.com/in/ericlafleche/,https://mythia.com
Seer,"Las Vegas, NV",Christina Czap,Sell beyond the store.,https://www.linkedin.com/in/christina-czap/,https://www.helloseer.com/
Aerotime,San Francisco,Piyush Narwani,Automatically group meetings together and find time for deep work,https://www.linkedin.com/in/piyushnarwani/,https://www.aerotime.ai/
ZOKO,"Bengaluru, India",Arjun Paul,Better Business on WhatsApp,https://www.linkedin.com/in/arjun-v-21939784/,https://www.zoko.io/
Corrily,,Abel Riboulot,Price Optimization for subscription and usage-based companies,https://www.linkedin.com/in/abel-riboulot-b92b8087/,http://www.corrily.com
Finantier,Singapore,Keng Low,Plaid for Southeast Asia,https://www.linkedin.com/in/keng/,https://finantier.co
Tint,San Francisco,Matheus Riolfi,Makes it easy for tech platforms to embed insurance into products,https://www.linkedin.com/in/mriolfi/,http://www.tint.ai
